day,cost_phones,cost_cases,cost_accessories,group
1,21900,2300,3300,control
1,43400,0,0,control
1,31500,0,0,control
1,31000,0,0,control
1,50400,2300,5100,control
1,59000,0,0,control
1,31200,2200,0,control
1,37700,0,2700,control
1,20000,1500,0,control
1,39200,0,0,control
1,75900,0,2300,control
1,56500,1800,0,control
1,36600,0,3200,control
1,44900,0,0,control
1,19200,0,3400,control
1,41300,0,0,control
1,7700,2800,0,control
1,42200,2300,0,control
1,8900,0,0,control
1,75400,0,0,control
1,46200,0,0,control
1,50500,0,0,control
1,39100,0,3100,control
1,24900,2200,0,control
1,56200,0,0,control
1,44300,0,0,control
1,44900,0,0,control
1,10000,2700,0,control
1,4800,0,0,control
1,52900,0,0,control
1,39900,2200,0,control
1,55100,0,0,control
1,34200,1700,0,control
1,41900,3300,0,control
1,35500,0,0,control
1,13400,1700,0,control
1,51300,2100,1400,control
1,32300,1600,0,control
1,47300,1700,0,control
1,41600,2300,0,control
1,70500,0,3600,control
1,58100,2700,0,control
1,55600,0,0,control
1,25000,0,0,control
1,13200,0,0,control
1,12900,0,0,control
1,22000,1300,0,control
1,18500,0,1300,control
1,15500,0,0,control
1,43500,600,0,control
1,66900,2000,0,control
1,11000,0,0,control
1,17000,0,3200,control
1,30800,0,3200,control
1,70700,0,1600,control
1,41300,2400,0,control
1,43600,0,0,control
1,61600,0,3000,control
1,43600,0,5600,control
1,19000,0,0,control
1,6900,2800,0,control
1,43700,0,0,control
1,52300,1500,4400,control
1,25200,1900,2700,control
1,65100,0,0,control
1,14000,1900,0,control
1,5500,2000,0,control
1,53600,0,2800,control
1,11800,0,4000,control
1,43500,0,0,control
1,36500,0,0,control
1,17400,0,2900,control
1,53200,0,0,control
1,24100,0,0,control
1,69500,0,0,control
1,44000,0,0,control
1,34800,0,3500,control
1,56000,1900,0,control
1,78900,1900,1900,control
1,38600,0,1200,control
1,58700,0,0,control
1,4800,0,0,control
1,13900,0,0,control
1,33000,2200,0,control
1,34300,1600,3800,control
1,42500,0,0,control
1,36300,2500,3000,control
1,33400,0,0,control
1,24500,0,2400,control
1,22300,3000,0,control
1,55900,0,3100,control
1,54700,0,3400,control
1,28600,2400,0,control
1,13800,0,0,control
1,45800,0,0,control
1,45600,0,0,control
1,43400,2300,0,control
1,41900,0,0,control
1,18500,0,2400,control
1,25200,0,0,control
1,57500,0,3800,control
1,52900,0,0,control
1,25900,0,0,control
1,21300,0,0,control
1,36500,0,0,control
1,59500,1700,0,control
1,50300,1800,0,control
